Time of day, ping, download, upload
11:25:01, 37.842, 14.29, 3.13;
11:30:01, 34.252, 7.11, 1.41;
11:35:01, 35.026, 15.51, 3.06;
11:40:01, 41.581, 7.13, 3.09;
11:45:01, 32.814, 14.44, 3.00;
11:50:01, 35.527, 6.40, 2.59;
11:55:01, 37.126, 14.79, 2.87;
12:00:01, 36.635, 15.47, 2.77;
12:05:01, 31.639, 18.70, 2.40;
12:10:01, 55.951, 18.60, 3.08;
12:15:01, 60.051, 14.89, 2.75;
12:20:01, 51.129, 18.29, 2.58;
12:25:01, 51.112, 12.98, 2.74;
12:30:01, 78.507, 1.96, 2.24;
12:45:01, 49.249, 3.39, 3.12;
13:00:02, 52.047, 5.10, 2.68;
13:15:01, 52.123, 6.46, 2.85;
13:30:01, 36.36, 10.41, 2.55;
13:45:01, 0,0,0;
14:00:01, 0,0,0;
14:15:01, 0,0,0;
14:30:01, 0,0,0;
14:45:01, 0,0,0;
15:00:01, 0,0,0;
15:15:01, 0,0,0;
15:30:01, 0,0,0;
15:45:01, 0,0,0;
16:00:01, 0,0,0;
16:15:01, 0,0,0;
16:30:02, 0,0,0;
16:45:01, 0,0,0;
17:00:01, 0,0,0;
17:15:01, 0,0,0;
17:30:01, 0,0,0;
17:45:01, 0,0,0;
18:00:01, 0,0,0;
18:15:01, 0,0,0;
18:30:01, 0,0,0;
18:45:01, 0,0,0;
19:00:01, 0,0,0;
19:15:01, 73.016, 2.03, 13.29;
19:30:01, 60.745, 9.60, 8.07;
19:45:01, 57.62, 11.66, 15.42;
20:00:01, 59.383, 8.85, 15.11;
20:15:01, 53.255, 12.41, 13.30;
20:30:01, 60.092, 9.80, 13.61;
20:45:01, 53.271, 9.98, 13.53;
21:00:01, 54.892, 13.42, 14.25;
21:15:01, 50.705, 11.91, 14.20;
21:30:01, 56.381, 12.13, 13.57;
21:45:01, 46.361, 12.94, 13.61;
22:00:01, 0,0,0;
22:15:01, 54.411, 13.35, 14.54;
22:30:01, 54.895 , 9.59, 13.60;
22:45:01, 59.299, 12.93, 14.11;
23:00:01, 59.908 , 13.83 , 13.56;
23:15:01, 60.213 , 8.20 , 11.07;
23:30:01, 54.786 , 11.88 , 14.47;
23:45:01, 60.03 , 12.33 , 14.65;
00:00:01, 61.495 , 13.44 , 10.06;
00:15:01, 54.444 , 9.81 , 15.17;
00:30:01, 47.404 , 15.10 , 14.76;
00:45:01, 49.096 , 15.00 , 15.92;
01:00:01, 47.779 , 14.28 , 12.64;
01:15:01 , 36.99 , 13.28 , 14.58;
01:30:01 , 59.101 , 14.60 , 9.79;
01:45:01 , 42.929 , 14.13 , 14.40;
02:00:01 ,48.742 ,15.39 ,15.39;
02:15:01 ,41.897 ,15.91 ,11.99;
02:30:01 ,37.129 ,18.03 ,15.65;
02:45:01 ,39.976 ,17.29 ,12.11;
03:00:01 ,36.694 ,16.41 ,14.88;
03:15:01 ,37.834 ,14.53 ,13.54;
03:30:01 ,37.228 ,18.83 ,13.78;
03:45:01 ,39.639 ,17.90 ,13.40;
04:00:01 ,34.733 ,18.96 ,13.22;
04:15:01 ,36.859 ,18.15 ,13.70;
04:30:01 ,40.138 ,20.24 ,10.92;
04:45:01 ,41.744 ,17.50 ,15.43;
05:00:01 ,39.567 ,16.29 ,13.00;
05:15:01,34.088 ,15.17 ,16.25;
05:30:01 ,39.017 ,18.60 ,14.81;
05:45:01 ,33.314 ,17.56 ,9.26;
06:00:01 ,42.583 ,16.44 ,14.92;
06:15:01 ,43.197 ,17.76 ,7.32;
06:30:01 ,34.207 ,18.35 ,11.68;
06:45:01 ,65.082 ,14.08 ,13.50;
07:00:03 ,53.207 ,14.37 ,13.24 ;
07:15:01 ,52.913 ,3.94 ,1.71 ;
07:30:01 ,61.129 ,15.13 ,12.64;
07:45:01 ,64.072 ,6.05 ,13.69 ;
08:00:01 ,54.215 ,13.84 ,13.36;
08:15:01 ,52.6 ,14.13, 13.77 ;
08:30:02 ,65.685 ,12.73 ,12.68;
08:45:01 ,65.181 ,12.59 ,13.47 ;
09:00:01 ,61.78 ,12.61 ,16.14 ;
09:15:01, 61.934 ,13.44 ,14.49;
09:30:01 ,58.037 ,12.06 ,13.25 ;
09:45:01 ,55.195 ,12.21 ,9.74 ;
10:00:01 ,58.043 ,13.15 ,13.38;
10:15:01 ,55.286 ,14.08 ,15.78 ;
10:30:01 ,59.313 ,13.57 ,14.63 ;
10:45:01 ,56.493 ,12.42 ,15.18 ;
11:00:01 ,54.188 ,12.02 ,13.83 ;
11:15:01 ,59.189 , 11.49 ,14.05 ;
11:30:01 , 0,0,0;
11:45:01 , 0,0,0;
12:00:01 ,65.434 ,13.91 ,15.85;
12:15:01 ,67.115 ,6.09 ,8.40;
12:30:01 ,64.264 ,12.06 ,12.41;
12:45:01 ,66.658 ,9.52 ,14.41;
13:00:01 ,63.054 ,10.51 ,13.13;
13:15:01 ,65.745 ,9.15 ,13.17;
13:30:01 ,65.938 ,13.94 ,12.99;
13:45:01 ,68.12 ,12.30, 10.02;
14:00:01 ,61.989 ,10.85 ,13.88;
14:15:01 ,65.741 ,10.60 ,12.49;
14:30:01 ,64.642 ,11.25 ,13.49;
14:45:01 ,71.801 ,6.31 ,13.53;
15:00:01 ,56.782 ,9.11 ,13.17;
15:15:01 ,65.732 ,13.07 ,14.10;
15:30:01 ,59.218 ,12.61 ,0.00;
15:45:01, 0,0,0;
16:00:01, 0,0,0;
16:15:01, 0,0,0;
16:30:01, 0,0,0;
16:45:01, 0,0,0;
17:00:01, 0,0,0;
17:15:01, 0,0,0;
17:30:01, 0,0,0;
17:45:01, 0,0,0;
18:00:01, 0,0,0;
18:15:01, 0,0,0;
18:30:01, 0,0,0;
18:45:01, 0,0,0;
19:00:01, 0,0,0;
19:15:01, 0,0,0;
19:30:01, 0,0,0;
19:45:01, 0,0,0;
20:00:02, 0,0,0;
20:15:01, 0,0,0;
20:30:01, 0,0,0;
20:45:02 ,0,0,0;
21:00:01 ,0,0,0;
21:15:01 ,0,0,0;
21:30:01 ,0,0,0;
21:45:01 ,0,0,0;
22:00:01 ,0,0,0;
22:15:01 ,0,0,0;
22:30:01 ,0,0,0;
22:45:01 ,0,0,0;
23:00:01 ,0,0,0;
23:15:01 ,0,0,0;
23:30:01 ,0,0,0;
23:45:01 ,0,0,0;
00:00:01,0,0,0;
00:15:01 ,0,0,0;
00:30:01 ,0,0,0;
00:45:01 ,0,0,0;
01:00:01 ,0,0,0;
01:15:01 ,0,0,0;
01:30:01 ,0,0,0;
01:45:01 ,0,0,0;
02:00:01 ,0,0,0;
02:15:01 ,42.455 ,16.87 ,12.55;
02:30:01 ,41.003 ,15.35, 13.24;
02:45:02 ,41.994 , 17.43 ,12.95;
03:00:01 ,39.764 ,17.52 ,2.45;
03:15:01 ,48.882 ,15.97 ,10.19;
03:30:01, 41.154 ,17.33 ,14.38;
03:45:01 ,43.923 ,17.01, 10.71;
04:00:04, 40.628 ,16.43 ,9.26;
04:15:01 ,45.825 ,17.25 ,12.88;
04:30:01 ,42.795 ,16.71 ,11.97;
04:45:01 ,40.773 ,15.73 ,12.52;
05:00:01 ,38.078 ,16.28 ,9.14;
05:15:01 ,41.954 ,16.43 ,13.40;
05:30:01 ,39.178 ,17.11 ,14.98;
05:45:01 ,43.609 ,17.49 ,12.74;
06:00:01 ,45.578, 16.64 ,14.55;
06:15:01 ,44.001 ,15.88 ,9.81;
06:30:01 ,40.745 ,18.84 ,13.43;
06:45:01 , 41.501 ,14.28 ,8.74;
07:00:01 ,  65.571 ,13.63, 14.67;
07:15:01 ,67.482 ,12.95 , 14.68;
07:30:01 ,60.571 ,11.14 ,11.40;
07:45:01 ,60.087 ,10.50 ,13.87;
08:00:01 ,1800000.0 ,0.28 ,0.00;
08:15:01 ,0,0,0;
08:30:01 ,0,0,0;
08:45:01 ,0,0,0;
09:00:01 ,0,0,0;
09:15:01 ,0,0,0;
09:30:01 ,0,0,0;
09:45:01 ,0,0,0;
10:00:01 ,0,0,0;
Jum Nov  4
10:15:01 ,189.57 ,4.55 ,0.26;
Jum Nov  4
10:30:03 ,43.01 ,10.81 ,1.23;
10:45:01 ,45.279 ,11.22 ,1.04;
11:00:01 ,61.321 ,11.54 ,1.14;
11:15:01 ,53.186 ,12.29 ,1.05;
11:30:01 ,36.215 ,13.25 ,0.99;
11:45:01 ,0,0,0;
12:00:01 ,68.517 ,11.51 ,1.23;
12:15:01 ,40.652 ,5.01 ,1.24 ;
12:30:01 ,38.075 ,15.39 ,1.25;
12:45:01 ,43.041 ,13.28 ,1.27;
13:00:01 ,41.386 ,13.50 ,1.26 ;
13:15:01 ,40.082 ,12.53 ,1.30;
13:30:01 ,37.616 ,5.44 ,1.25;
13:45:01 ,43.145 ,9.22 ,1.21;
14:00:01 ,38.581 ,10.35 ,1.24;
14:15:01 ,47.231 ,11.55 ,1.06;
14:30:01 ,39.537 ,10.95 ,1.07;
14:45:01 ,66.659 ,13.58 ,1.10;
15:00:01 ,39.114 ,11.62 ,0.97;
15:15:01 ,0,0,0;
15:30:01 ,39.961 ,11.91 ,1.04;
15:45:01 ,41.317 ,13.89 ,1.07;
16:00:01 ,63.567 ,7.37 ,4.04;
16:15:01 ,65.329 ,3.08 ,3.95;
16:30:01 ,59.151 ,2.66 ,3.96;
16:45:02 ,49.828 ,7.00 ,4.41;
17:00:01 ,66.818 ,2.70 ,3.94;
17:15:01 ,41.924 ,6.14 ,5.80;
17:30:01 ,60.897 ,5.52 ,4.20;
17:45:01 ,70.054 ,4.36 ,3.27;
18:00:01 ,55.106 ,4.41 ,5.43;
18:15:01 ,44.521 ,9.87 ,4.09;
18:30:01 ,73.2 ,3.77 ,2.47;
18:45:01 ,50.183 ,4.65 ,4.04;
19:00:01 ,53.315 ,10.50 ,6.11;
19:15:01 ,39.698 ,7.61 ,4.50;
19:30:01 ,79.749 ,6.47 ,4.16;
19:45:01 ,65.992 ,2.25, 3.40;
20:00:01 ,96.789 ,3.67 ,3.11;
20:15:01 ,100.193 ,7.69 ,4.51;
20:30:01 ,80.038 ,5.36 ,4.33;
20:45:01 ,80.455 ,6.13 ,4.49;
21:00:01 ,102.262 ,10.08 ,3.61;
21:15:01 ,90.394 ,8.04 ,4.52;
21:30:01 ,189.243 ,7.24 ,4.75;
21:45:01 ,118.128 ,7.25 ,4.58;
22:00:01 ,187.588 ,4.62 ,4.16;
22:15:01 ,128.663 ,5.75 ,3.50;
22:30:01 ,204.656 ,6.76 ,3.50;
22:45:01 ,100.684 ,11.08 ,4.43;
23:00:01 ,138.809 ,6.05 ,2.73;
23:15:01 ,170.537 ,7.15 ,5.95;
23:30:01 ,87.059 ,8.53 ,6.17;
23:45:01 ,96.614 ,7.91 ,6.15;
Sab Nov  5 00:00:01 ,57.911 ,10.02 ,5.29;
Sab Nov  5 00:15:01 ,49.154 ,7.26 ,5.67;
Sab Nov  5 00:30:01 ,61.285 ,6.69 ,4.65;
Sab Nov  5 00:45:01 ,51.351 ,6.66 ,4.86;
Sab Nov  5 01:00:01 ,49.758 ,8.94 ,5.88;
Sab Nov  5 01:15:01 ,204.784 ,3.44 ,3.47;
Sab Nov  5 01:30:01 ,227.172 ,2.42 ,5.87;
Sab Nov  5 01:45:01 , 0,0,0;
Sab Nov  5 02:00:01 ,203.605 ,3.64 ,6.32;
Sab Nov  5 02:15:01 ,205.999 ,2.71 ,6.25;
Sab Nov  5 02:30:01 ,204.659 ,3.06 ,4.50;
Sab Nov  5 02:45:01, 0,0,0;
Sab Nov  5 03:00:01 ,186.63 ,3.72 ,1.96;
Sab Nov  5 03:15:02 ,146.261 ,5.35 ,6.19;
Sab Nov  5 03:30:01, 0,0,0;
Sab Nov  5 03:45:01 ,68.418 ,8.26 ,4.52;
Sab Nov  5 04:00:01 ,63.849 ,4.53 ,6.25;
