Time of Day, Ping, Download Speed , Upload Speed 
 19:30:01  ,0,0,0
 19:35:01  ,0,0,0
 19:40:01  ,0,0,0
 19:45:01  ,0,0,0
 19:50:01  ,0,0,0
 19:55:01  ,0,0,0
 20:00:01  ,0,0,0
 20:05:01  ,0,0,0
 20:10:01  ,0,0,0
 20:15:01  ,0,0,0
 20:20:01  ,0,0,0
 20:25:01  ,0,0,0
 20:30:01  ,0,0,0
 20:35:01  ,0,0,0
 20:40:01  ,0,0,0
 20:45:01  ,0,0,0
 20:50:01  ,0,0,0
 20:55:01  ,0,0,0
 21:00:01  ,0,0,0
 21:05:01  ,0,0,0
 21:10:01  ,0,0,0
 21:15:01  ,0,0,0
 21:20:01  ,0,0,0
 21:25:01  ,0,0,0
 21:30:01  ,0,0,0
 21:35:01  ,0,0,0
 21:40:01  ,0,0,0
 21:45:01  ,0,0,0
 21:50:01  ,0,0,0
 21:55:01  ,0,0,0
 22:00:01  ,0,0,0
 22:05:01  ,0,0,0
 22:10:01  ,0,0,0
 22:15:01  ,0,0,0
 22:20:01  ,0,0,0
 22:25:01  ,0,0,0
 22:30:01  ,0,0,0
 22:35:01  ,0,0,0
 22:40:01  ,0,0,0
 22:45:01  ,0,0,0
 22:50:01  ,0,0,0
 22:55:01  ,0,0,0
 23:00:01  ,0,0,0
 23:05:01  ,0,0,0
 23:10:01  ,0,0,0
 23:15:01  ,0,0,0
 23:20:01  ,0,0,0
 23:25:01  ,0,0,0
 23:30:01  ,0,0,0
 23:35:01  ,0,0,0
 23:40:01  ,0,0,0
 23:45:01  ,0,0,0
 23:50:01  ,0,0,0
 23:55:01  ,0,0,0
00:00:01  ,0,0,0
00:05:01  ,0,0,0
00:10:01  ,0,0,0
00:15:01  ,0,0,0
00:20:01  ,0,0,0
00:25:01  ,0,0,0
00:30:01  ,0,0,0
00:35:01  ,0,0,0
00:40:01  ,0,0,0
00:45:01  ,0,0,0
00:50:01  ,0,0,0
00:55:01  ,0,0,0
01:00:01  ,0,0,0
01:05:01  ,0,0,0
01:10:01  ,0,0,0
01:15:01  ,0,0,0
01:20:01  ,0,0,0
01:25:01  ,0,0,0
01:30:01  ,0,0,0
01:35:01  ,0,0,0
01:40:02  ,0,0,0
01:45:01  ,0,0,0
01:50:01  ,0,0,0
01:55:01  ,0,0,0
02:00:01  ,0,0,0
02:05:01  , 37.456 ,19.36 ,11.89 
02:10:01  , 62.126 ,9.44 ,6.31 
02:15:01  201,78.591 ,11.18 ,6.76 
02:20:01  ,52.559 ,10.19 ,10.28 
02:25:01  ,72.699 ,10.51 ,6.94 
02:30:01  ,54.784 ,9.13 ,5.61 
02:35:01  ,59.837 ,10.35 ,6.26 
02:40:01  ,72.677 ,10.48 ,8.98 
02:45:01  ,47.688 ,9.98 ,6.04 
02:50:01  ,64.569 ,8.18 ,6.39 
02:55:01  ,37.495 ,19.29 ,11.98 
03:00:01  ,36.428 ,18.39 ,11.63 
03:05:01  ,37.64 ,16.97 ,11.81 
03:10:01  ,35.953 ,17.89 ,12.22 
03:15:01  , 36.605 ,15.48 ,12.60 
03:20:01  ,34.96 ,19.28 ,12.14 
03:25:01  ,35.765 ,19.00 ,12.11 
03:30:01  ,37.086 ,19.29 ,12.04 
03:35:01  ,33.615 ,18.85 ,12.37 
03:40:01  ,34.069 ,18.25 ,12.53 
03:45:01  ,32.299 ,18.73 ,12.22 
03:50:02  ,34.779 ,18.70 ,11.92 
03:55:01  ,35.772 ,17.38 ,11.94 
04:00:01  ,33.289 ,18.60 ,12.34 
04:05:01  ,35.973 ,17.93 ,12.67 
04:10:01  ,35.098 ,17.46 ,12.93 
04:15:01  ,33.45 ,18.80 ,12.90 
04:20:01  ,35.618 ,17.92 ,12.82 
04:25:01  ,35.577 ,17.03 ,12.62 
04:30:01  ,38.759 ,18.80 ,12.21 
04:35:01  ,32.98 ,18.68 ,12.12 
04:40:02  ,30.451 ,18.57 ,12.08 
04:45:01  ,31.467 ,20.02 ,12.22 
04:50:01  ,29.976 ,19.72 ,12.14 
04:55:01  ,29.428 ,19.79 ,12.45 
05:00:01  ,36.441 ,19.95 ,12.60 
05:05:01  ,36.634 ,19.36 ,12.42 
05:10:01  ,36.649 ,17.54 ,12.64 
05:15:01  ,29.422,  17.31 ,12.29 
05:20:01  ,35.631 ,19.95 ,12.34 
05:25:01  ,30.022 ,19.14 ,12.27 
05:30:01  ,33.084 ,17.58 ,12.18 
05:35:01  ,29.65 ,18.08 ,11.83 
05:40:01  ,31.111 ,19.87 ,11.68 
05:45:01  ,30.869 ,18.56 ,12.18 
05:50:01  ,32.796 ,19.14 ,11.31 
05:55:01  ,33.508 ,19.00 ,12.35 
06:00:01  ,30.433 ,19.25 ,11.95 
06:05:01  ,35.788 ,19.38 ,11.91 
06:10:01  ,36.959 ,18.60 ,12.10 
06:15:01  ,30.796 ,18.75 ,12.01 
06:20:01  ,31.313 ,20.53 ,11.77 
06:25:01  ,33.963 ,18.36 ,12.07 
06:30:01  ,46.231 ,15.96 ,11.15 
06:35:01  ,34.127 ,19.00 ,11.95 
06:40:01  ,33.463, 17.02 ,11.71 
06:45:01  ,46.531 ,17.02 ,11.62 
06:50:01  ,55.952 ,16.66 ,11.29 
06:55:01  ,52.955 ,14.86 ,9.17 
07:00:01  ,51.341 ,14.77 ,10.15 
07:05:01  ,52.44 ,15.65 ,10.32 
07:10:01  ,51.751 ,15.19 ,9.48 
07:15:01  ,51.937 ,15.45 ,9.31 
07:20:01  ,50.596 ,14.07 ,8.94 
07:25:01  ,45.596 ,10.32 ,9.15 
07:30:01  , 47.645 ,15.90 ,8.84 
07:35:01  ,48.616 ,15.84 ,7.86 
07:40:01  ,52.068 ,14.48 ,8.87 
07:45:01  ,44.569 ,14.00 ,7.24 
07:50:01  ,50.39 ,15.36 ,7.42 
07:55:01  ,55.476 ,13.69 ,8.50 
08:00:01  ,600046.726 ,0.51 ,0.00 
08:05:01  ,0,0,0
08:10:01  ,0,0,0
08:15:01  ,0,0,0
08:20:01  ,0,0,0
08:25:01  ,0,0,0
08:30:01  ,0,0,0
08:35:01  ,0,0,0
08:40:01  ,0,0,0
08:45:01  ,0,0,0
08:50:01  ,0,0,0
08:55:01  ,0,0,0
09:00:01  ,0,0,0
09:05:01  ,0,0,0
09:10:01  ,0,0,0
09:15:01  ,0,0,0
09:20:01  ,0,0,0
09:25:01  ,0,0,0
09:30:01  ,0,0,0
09:35:01  ,0,0,0
09:40:01  ,0,0,0
09:45:01  ,0,0,0
09:50:01  ,0,0,0
09:55:01  ,0,0,0
10:00:01  ,0,0,0
10:05:02  ,0,0,0
10:10:01  ,0,0,0
10:15:01  ,0,0,0
10:20:01  ,0,0,0
10:25:01  ,0,0,0
10:30:01  ,0,0,0
10:35:01  ,0,0,0
10:40:01  ,0,0,0
10:45:01  ,0,0,0
10:50:01  ,0,0,0
10:55:01  ,0,0,0
11:00:01  ,0,0,0
11:05:01  ,0,0,0
11:10:01  ,0,0,0
11:15:01  ,0,0,0
11:20:01  ,0,0,0
11:25:01  ,0,0,0
11:30:01  ,0,0,0
11:35:01  ,0,0,0
11:40:01  ,0,0,0
11:45:01  ,0,0,0
11:50:01  ,0,0,0
11:55:01  ,0,0,0
12:00:01  ,0,0,0
12:05:01  ,0,0,0
12:10:01  ,0,0,0
12:15:01  ,0,0,0
12:20:01  ,0,0,0
12:25:01  ,0,0,0
12:30:01  ,0,0,0
12:35:01  ,0,0,0
12:40:01  ,0,0,0
12:45:01  ,0,0,0
12:50:01  ,0,0,0
12:55:01  ,0,0,0
13:00:01  ,0,0,0
13:05:01  ,0,0,0
13:10:02  ,0,0,0
13:15:01  ,0,0,0
13:20:01  ,0,0,0
13:25:01  ,0,0,0
13:30:01  ,0,0,0
13:35:01  ,0,0,0
13:40:01  ,0,0,0
13:45:01  ,0,0,0
13:50:01  ,0,0,0
13:55:01  ,0,0,0
14:00:01  ,0,0,0
14:05:01  ,0,0,0
14:10:01  ,0,0,0
14:15:01  ,0,0,0
14:20:01  ,0,0,0
14:25:01  ,0,0,0
14:30:01  ,0,0,0
14:35:01  ,0,0,0
14:40:01  ,0,0,0
14:45:01  ,0,0,0
14:50:01  ,0,0,0
14:55:01  ,0,0,0
15:00:01  ,0,0,0
15:05:01  ,0,0,0
15:10:01  ,0,0,0
15:15:01  ,0,0,0
15:20:01  ,0,0,0
15:25:02  ,0,0,0
15:30:01  ,0,0,0
15:35:01  ,0,0,0
15:40:01  ,0,0,0
15:45:01  ,0,0,0
15:50:01  ,0,0,0
15:55:01  ,0,0,0
16:00:01  ,0,0,0
16:05:01  ,0,0,0
16:10:01  ,0,0,0
16:15:01  ,0,0,0
16:20:01  ,0,0,0
16:25:01  ,0,0,0
16:30:01  ,0,0,0
16:35:01  ,0,0,0
16:40:01  ,0,0,0
16:45:01  ,0,0,0
16:50:01  ,0,0,0
16:55:01  ,0,0,0
17:00:01  ,0,0,0
17:05:01  ,0,0,0
17:10:01  ,0,0,0
17:15:01  ,0,0,0
17:20:01  ,0,0,0
17:25:01  ,0,0,0
17:30:01  ,0,0,0
17:35:01  ,0,0,0
17:40:01  ,0,0,0
17:45:01  ,0,0,0
17:50:01  ,0,0,0
17:55:01  ,0,0,0
18:00:01  ,0,0,0
18:05:01  ,0,0,0
18:10:01  ,0,0,0
18:15:01  ,0,0,0
18:20:01  ,0,0,0
18:25:01  ,0,0,0
18:30:01  ,0,0,0
18:35:01  ,0,0,0
18:40:01  ,0,0,0
18:45:01  ,0,0,0
18:50:01  ,0,0,0
18:55:01  ,0,0,0
19:00:01  ,0,0,0
19:05:01  ,0,0,0
19:10:01  ,0,0,0
19:15:01  ,0,0,0
19:20:01  ,0,0,0
19:25:01  ,0,0,0
19:30:01  ,0,0,0
19:35:01  ,0,0,0
19:40:01  ,0,0,0
19:45:01  ,0,0,0
19:50:01  ,0,0,0
19:55:01  ,0,0,0
20:00:01  ,0,0,0
20:05:01  ,0,0,0
20:10:01  ,0,0,0
20:15:01  ,0,0,0
20:20:01  ,0,0,0
20:25:01  ,0,0,0
20:30:01  ,0,0,0
20:35:01  ,0,0,0
20:40:01  ,0,0,0
20:45:01  ,0,0,0
20:50:01  ,0,0,0
20:55:01  ,0,0,0
21:00:01  ,0,0,0
21:05:01  ,0,0,0
21:10:01  ,0,0,0
21:15:01  ,0,0,0
21:20:01  ,0,0,0
21:25:01  ,0,0,0
21:30:01  ,0,0,0
21:35:01  ,0,0,0
21:40:01  ,0,0,0
21:45:01  ,0,0,0
21:50:01  ,0,0,0
21:55:01  ,0,0,0
22:00:01  ,0,0,0
22:05:01  ,0,0,0
22:10:01  ,0,0,0
22:15:01  ,0,0,0
22:20:01  ,0,0,0
22:25:01  ,0,0,0
22:30:02  ,0,0,0
22:35:01  ,0,0,0
22:40:01  ,0,0,0
22:45:01  ,0,0,0
22:50:01  ,0,0,0
22:55:01  ,0,0,0
23:00:01  ,0,0,0
23:05:01  ,0,0,0
23:10:01  ,0,0,0
23:15:01  ,0,0,0
23:20:01  ,0,0,0
23:25:01  ,0,0,0
23:30:01  ,0,0,0
23:35:01  ,0,0,0
23:40:01  ,0,0,0
23:45:01  ,0,0,0
23:50:01  ,0,0,0
23:55:01  ,0,0,0
 00:00:01  ,0,0,0
 00:05:01  ,0,0,0
 00:10:01  ,0,0,0
 00:15:01  ,0,0,0
 00:20:01  ,0,0,0
 00:25:01  ,0,0,0
 00:30:01  ,0,0,0
 00:35:01  ,0,0,0
 00:40:02  ,0,0,0
 00:45:01  ,0,0,0
 00:50:01  ,0,0,0
 00:55:01  ,0,0,0
 01:00:01  ,0,0,0
 01:05:01  ,0,0,0
 01:10:01  ,0,0,0
 01:15:01  ,0,0,0
 01:20:01  ,0,0,0
 01:25:01  ,0,0,0
 01:30:01  ,0,0,0
 01:35:01  ,0,0,0
 01:40:01  ,0,0,0
 01:45:01  ,0,0,0
 01:50:01  ,0,0,0
 01:55:01  ,0,0,0
 02:00:01  ,0,0,0
 02:05:01  ,35.185 ,20.53 ,18.63 
 02:10:01  ,31.154 ,19.69 ,17.76 
 02:15:01  ,30.548 ,19.58 ,17.60 
 02:20:01  ,32.381 ,18.87 ,16.33 
 02:25:02  ,29.663 ,20.67 ,17.25 
 02:30:01  ,33.05 ,19.76 ,17.69 
 02:35:01  ,34.441 ,19.05 ,17.02 
 02:40:01  ,31.261 ,20.00 ,16.96 
 02:45:01  ,31.945 ,19.91 , 18.11 
 02:50:01  ,30.86 ,20.18 ,17.81 
 02:55:01  ,30.687 ,20.47 ,18.30 
 03:00:01  ,30.191 ,18.92 ,21.19 
 03:05:01  ,32.16 ,19.48 ,17.97 
 03:10:01  ,32.617 ,18.86 ,16.62 
 03:15:01  ,30.93 ,19.42 ,16.82 
 03:20:01  ,29.952 ,20.52 ,18.71 
 03:25:01  ,31.91 ,20.31 ,18.16 
 03:30:01  ,32.316 ,19.36 ,17.75 
 03:35:01  ,32.285 ,19.64 ,17.15 
 03:40:01  ,30.959 ,19.82 ,18.62 
 03:45:01  ,32.827 ,19.95 ,16.52 
 03:50:01  ,33.965 ,20.57 ,15.09 
 03:55:01  ,29.946 ,19.82 ,18.32 
 04:00:01  ,30.41 ,19.92 ,18.11 
 04:05:01  ,30.289 ,21.61 ,17.79 
 04:10:01  ,30.452 ,20.45 ,18.70 
 04:15:01  ,29.934 ,20.53 ,18.49 
 04:20:01  ,29.655 ,20.85 ,17.27 
 04:25:01  ,30.431 ,20.52 ,18.48 
 04:30:01  ,29.772 ,21.24 ,18.41 
 04:35:01  ,29.772 ,20.82 ,18.27 
 04:40:01  ,29.606 ,19.65 ,17.68 
