Mon Oct 31 16:25:01  2016,74.869 ,7.05 ,5.61 
Mon Oct 31 16:30:01  2016, 89.667 ,10.19 ,6.75 
Mon Oct 31 16:35:01  2016, 68.264 ,9.89 ,4.72 
Mon Oct 31 16:40:01  2016, 67.953 ,8.29 ,5.47 
Mon Oct 31 16:45:01  2016, 85.394 ,9.02 ,3.79 
Mon Oct 31 16:50:01  2016, 92.384 ,7.09 ,6.11 
Mon Oct 31 16:55:01  2016, 88.064 ,9.24 ,5.68 
Mon Oct 31 17:00:01  2016, 99.406 ,7.54 ,4.52 
Mon Oct 31 17:05:01  2016,x,x,x
Mon Oct 31 17:10:01  2016,x,x,x
Mon Oct 31 17:15:01  2016,x,x,x
Mon Oct 31 17:20:01  2016,x,x,x
Mon Oct 31 17:25:01  2016,x,x,x
Mon Oct 31 17:30:01  2016,x,x,x
Mon Oct 31 17:35:01  2016,x,x,x
Mon Oct 31 17:40:01  2016,x,x,x
Mon Oct 31 17:45:01  2016,x,x,x
Mon Oct 31 17:50:01  2016,x,x,x
Mon Oct 31 17:55:01  2016,x,x,x
Mon Oct 31 18:00:01  2016,x,x,x
Mon Oct 31 18:05:01  2016,x,x,x
Mon Oct 31 18:10:01  2016,x,x,x
Mon Oct 31 18:15:01  2016,x,x,x
Mon Oct 31 18:20:01  2016,x,x,x
Mon Oct 31 18:25:01  2016,x,x,x
Mon Oct 31 18:30:01  2016,x,x,x
Mon Oct 31 18:35:01  2016,x,x,x
Mon Oct 31 18:40:01  2016,x,x,x
Mon Oct 31 18:45:01  2016,x,x,x
Mon Oct 31 18:50:01  2016,x,x,x
Mon Oct 31 18:55:01  2016,x,x,x
Mon Oct 31 19:00:01  2016,x,x,x
Mon Oct 31 19:05:01  2016,x,x,x
Mon Oct 31 19:10:01  2016,x,x,x
Mon Oct 31 19:15:01  2016,x,x,x
Mon Oct 31 19:20:01  2016,x,x,x
Mon Oct 31 19:25:01  2016,x,x,x
Mon Oct 31 19:30:01  2016,x,x,x
Mon Oct 31 19:35:01  2016,x,x,x
Mon Oct 31 19:40:01  2016,x,x,x
Mon Oct 31 19:45:01  2016,x,x,x
Mon Oct 31 19:50:01  2016,x,x,x
Mon Oct 31 19:55:01  2016,x,x,x
Mon Oct 31 20:00:01  2016,x,x,x
Mon Oct 31 20:05:01  2016,x,x,x
Mon Oct 31 20:10:01  2016,x,x,x
Mon Oct 31 20:15:01  2016,x,x,x
Mon Oct 31 20:20:01  2016,x,x,x
