Date,Ping,Download-Speed,Upload-Speed
Fri Jan 27 16:34:01  2017,52.181 ,16.42 ,9.89 
Fri Jan 27 16:51:01  2017,65.498 ,10.42 ,7.14 
Fri Jan 27 17:00:01  2017,x,x,x
Fri Jan 27 17:17:01  2017,x,x,x
Fri Jan 27 17:34:02  2017,x,x,x
Fri Jan 27 17:51:01  2017,x,x,x
Fri Jan 27 18:00:01  2017,x,x,x
Sat Jan 28 13:30:01  2017,x,x,x
Sat Jan 28 13:45:01  2017,x,x,x
Sat Jan 28 14:00:01  2017,x,x,x
Sat Jan 28 14:15:01  2017,x,x,x
Sat Jan 28 14:30:01  2017,60.383,1.03 ,0.00 
Sat Jan 28 14:45:01  2017,46.988 ,0.00 ,0.00 
Sat Jan 28 15:00:01  2017,x,x,x
Sat Jan 28 15:15:01  2017,x,x,x
Sat Jan 28 15:30:01  2017,x,x,x
Sat Jan 28 15:45:01  2017,x,x,x
Sat Jan 28 16:00:01  2017,72.652 ,0.00 ,0.00 
Sat Jan 28 16:15:01  2017,179.435 ,0.42 ,0.38 
Sat Jan 28 16:30:01  2017,46.539 ,0.96 ,0.00 
Sat Jan 28 16:45:01  2017,45.389 ,0.00 ,0.00 
Sat Jan 28 17:00:01  2017,x,x,x
Sat Jan 28 17:15:01  2017,54.648 ,0.52 ,0.00 
Sat Jan 28 17:30:01  2017,54.754 ,0.22 ,0.00 
Sat Jan 28 17:45:01  2017,29.958 ,23.94 ,6.99 
Sat Jan 28 18:00:01  2017,30.109 ,9.09 ,2.18 
Sat Jan 28 18:15:01  2017,30.465 ,15.99 ,4.74 
Sat Jan 28 18:30:01  2017,29.631 ,9.14 ,4.89 
Sat Jan 28 18:45:01  2017,29.978 ,20.34 ,4.72 
Sat Jan 28 19:00:01  2017,34.625 ,20.06 ,2.41 
Sat Jan 28 19:15:01  2017,30.93 ,12.94 ,2.73 
Sat Jan 28 19:30:01  2017,33.633 ,15.42 ,0.00 
Sat Jan 28 19:45:01  2017,30.796 ,8.49 ,3.07 
Sat Jan 28 20:00:01  2017,31.178 ,15.95 ,2.83 
Sat Jan 28 20:15:01  2017,35.952 ,11.07 ,3.68 
Sat Jan 28 20:30:01  2017,32.388 ,3.59 ,2.81 
Sat Jan 28 20:45:01  2017,31.139 ,17.12 ,2.76 
Sat Jan 28 21:00:01  2017,30.796 ,9.43 ,2.89 
Sat Jan 28 21:15:01  2017,31.059 ,10.17 ,3.03 
Sat Jan 28 21:30:01  2017,31.214 ,30.65 ,3.81 
Sat Jan 28 21:45:01  2017,30.025 ,11.34 ,2.55 
Sat Jan 28 22:00:01  2017,34.871 ,12.36 ,3.31 
Sat Jan 28 22:15:01  2017,35.256 ,5.06 ,2.92 
Sat Jan 28 22:30:01  2017,31.639 ,23.17 ,4.37 
Sat Jan 28 22:45:01  2017,33.649 ,28.15 ,3.87 
Sun Jan 29 15:30:01  2017,x,x,x
Sun Jan 29 15:45:01  2017,x,x,x
Sun Jan 29 16:00:01  2017,x,x,x
Sun Jan 29 16:15:01  2017,x,x,x
Sun Jan 29 16:30:01  2017,x,x,x
Sun Jan 29 16:45:01  2017,x,x,x
Sun Jan 29 17:00:01  2017,x,x,x
Sun Jan 29 17:15:01  2017,x,x,x
Sun Jan 29 17:30:01  2017,x,x,x
Sun Jan 29 17:45:01  2017,x,x,x
Sun Jan 29 18:00:01  2017,x,x,x
Sun Jan 29 18:15:01  2017,x,x,x
Sun Jan 29 18:30:01  2017,x,x,x
Sun Jan 29 18:45:01  2017,x,x,x
Sun Jan 29 19:00:01  2017,x,x,x
Sun Jan 29 19:15:01  2017,x,x,x
Sun Jan 29 19:30:01  2017,x,x,x
Sun Jan 29 19:45:01  2017,x,x,x
Sun Jan 29 20:00:01  2017,x,x,x
Sun Jan 29 20:15:01  2017,x,x,x
Sun Jan 29 20:30:01  2017,x,x,x
Sun Jan 29 20:45:01  2017,x,x,x
Sun Jan 29 21:00:01  2017,x,x,x
Sun Jan 29 21:15:01  2017,x,x,x
Sun Jan 29 21:30:01  2017,x,x,x
Sun Jan 29 21:45:01  2017,x,x,x
Sun Jan 29 22:00:01  2017,x,x,x
Sun Jan 29 22:15:01  2017,x,x,x
Sun Jan 29 22:30:01  2017,x,x,x
Sun Jan 29 22:45:01  2017,x,x,x
Sun Jan 29 23:00:01  2017,x,x,x
Sun Jan 29 23:15:01  2017,x,x,x
Sun Jan 29 23:30:01  2017,x,x,x
Sun Jan 29 23:45:01  2017,x,x,x
Mon Jan 30 00:00:01  2017,x,x,x
Mon Jan 30 00:15:01  2017,x,x,x
Mon Jan 30 00:30:01  2017,x,x,x
Mon Jan 30 00:45:02  2017,x,x,x
Mon Jan 30 01:00:01  2017,x,x,x
Mon Jan 30 01:15:01  2017,x,x,x
Mon Jan 30 01:30:01  2017,x,x,x
Mon Jan 30 01:45:01  2017,x,x,x
Mon Jan 30 02:00:01  2017,x,x,x
Mon Jan 30 02:15:01  2017,x,x,x
Mon Jan 30 02:30:01  2017,x,x,x
Mon Jan 30 02:45:01  2017,x,x,x
Mon Jan 30 03:00:01  2017,x,x,x
Mon Jan 30 03:15:01  2017,x,x,x
Mon Jan 30 03:30:01  2017,x,x,x
Mon Jan 30 03:45:01  2017,x,x,x
Mon Jan 30 04:00:01  2017,x,x,x
Mon Jan 30 04:15:01  2017,x,x,x
Mon Jan 30 04:30:01  2017,x,x,x
Mon Jan 30 04:45:01  2017,x,x,x
Mon Jan 30 05:00:01  2017,x,x,x
Mon Jan 30 05:15:01  2017,x,x,x
Mon Jan 30 05:30:01  2017,x,x,x
Mon Jan 30 05:45:01  2017,x,x,x
Mon Jan 30 06:00:01  2017,x,x,x
Mon Jan 30 06:15:01  2017,x,x,x
Mon Jan 30 06:30:01  2017,x,x,x
Mon Jan 30 06:45:02  2017,x,x,x
Mon Jan 30 07:00:01  2017,x,x,x
Mon Jan 30 07:15:01  2017,x,x,x
Mon Jan 30 07:30:01  2017,x,x,x
Mon Jan 30 07:45:01  2017,x,x,x
Mon Jan 30 08:00:01  2017,x,x,x
Mon Jan 30 08:15:01  2017,x,x,x
Mon Jan 30 08:30:01  2017,x,x,x
Mon Jan 30 08:45:01  2017,x,x,x
Mon Jan 30 09:00:01  2017,x,x,x
Mon Jan 30 09:15:01  2017,x,x,x
